LPPDB Similarity,PDBBind Similarity
0.270588235,0.900763359
0.193548387,0.159090909
0.148387097,0.961111111
0.182432432,1
0.419047619,0.993883792
0.976923077,1
0.161290323,0.241534989
0.189189189,1
1,1
0.148148148,0.952475248
0.193548387,0.146666667
0.484848485,0.157142857
0.148387097,0.135135135
0.166666667,0.151079137
1,0.180555556
0.400943396,1
0.176470588,1
0.182432432,0.140350877
0.150943396,1
0.148837209,1
0.728744939,1
0.193548387,1
0.19047619,0.224089636
0.197132616,0.216216216
0.23659306,0.208333333
0.227906977,0.142857143
0.189655172,0.152777778
0.148387097,0.332425068
0.161849711,0.995024876
0.155172414,1
0.181818182,1
0.144927536,1
0.996941896,0.171875
0.563405797,1
0.19047619,1
0.136986301,0.996124031
0.166666667,0.179425837
0.140350877,0.166666667
0.228070175,0.165048544
0.809302326,0.142857143
0.206060606,1
0.55234657,0.814516129
0.189189189,1
1,0.156626506
0.178571429,1
0.174074074,0.996835443
0.176470588,0.31372549
0.148648649,1
0.31640625,0.144444444
0.201550388,0.97979798
0.18404908,0.149606299
0.173285199,0.15
0.193548387,0.166666667
0.258181818,0.14516129
0.163120567,1
0.740740741,1
0.194444444,1
0.18,1
0.169642857,0.964480874
0.162162162,0.605633803
1,1
0.350194553,1
0.20212766,1
0.289189189,0.16
0.405405405,1
0.558441558,0.999015263
0.189189189,1
0.206060606,0.748344371
0.166666667,0.161290323
0.200680272,0.142857143
0.147540984,0.890140845
0.515011547,1
0.504531722,1
0.161290323,0.176470588
0.1875,1
0.987730061,1
0.156862745,0.652173913
0.990825688,0.547486034
0.179487179,0.171717172
0.783276451,1
1,0.161290323
0.166666667,0.166666667
0.219570406,1
0.58372093,1
1,1
0.155172414,0.97979798
0.142857143,0.99382716
0.189910979,1
0.206060606,0.99713467
0.506912442,1
0.588516746,1
0.987730061,0.161290323
0.223628692,1
0.321428571,1
0.193548387,1
1,0.169811321
0.710784314,1
0.552419355,1
0.372641509,0.146666667
0.990825688,0.98989899
0.162790698,1
0.648584906,1
0.317829457,0.22605364
0.189655172,0.997429306
0.496583144,0.161290323
0.993630573,0.396624473
0.213178295,0.166666667
0.205387205,1
0.174603175,1
0.145833333,0.96969697
0.209302326,0.184210526
1,1
0.171875,0.98989899
0.166666667,1
0.516203704,0.934460888
0.179245283,0.985
0.251162791,0.36036036
0.169491525,0.138576779
0.28125,1
0.224806202,0.129032258
0.492307692,0.145833333
0.735426009,0.538990826
1,0.877076412
0.138888889,0.96969697
0.991397849,1
0.1875,0.827361564
0.162790698,1
0.227272727,1
0.236363636,0.657563025
0.294117647,0.146067416
0.138888889,0.827586207
0.532110092,1
0.3515625,1
0.157894737,0.673267327
0.23853211,0.348623853
1,1
1,0.995689655
0.288636364,0.25093633
1,0.835
0.148648649,1
0.269141531,0.171052632
0.203846154,0.175438596
0.140243902,1
0.155172414,0.162162162
0.357142857,1
0.192307692,0.140350877
0.169491525,0.996323529
0.189655172,0.161290323
0.987730061,1
0.181818182,0.166666667
0.182156134,1
0.16091954,0.601941748
0.154929577,0.169230769
0.171875,0.98989899
0.169811321,0.327683616
0.140243902,0.138888889
0.153846154,0.967105263
0.15,1
1,0.998220641
0.46975089,0.194444444
0.161290323,0.161290323
0.152173913,1
0.519685039,0.98989899
1,0.156862745
1,1
0.135802469,1
0.178571429,0.737030411
0.906137184,1
0.350194553,1
1,0.154929577
0.996941896,0.530232558
0.972477064,0.477876106
0.182432432,0.971153846
0.206060606,0.760368664
1,1
1,0.161290323
0.164705882,1
0.189189189,0.171717172
0.176245211,0.285714286
0.717213115,0.150943396
0.394557823,0.774834437
0.207289294,0.164179104
0.279069767,0.152173913
0.2,0.474226804
0.16,1
0.1875,1
0.181818182,1
1,1
0.147058824,0.175438596
0.310077519,1
0.580952381,0.99122807
0.140243902,1
0.9,1
0.153846154,1
0.14516129,0.27014218
0.149122807,1
0.400943396,1
0.147540984,0.99382716
1,0.162790698
0.148387097,1
0.338582677,0.551328502
0.218045113,0.179487179
0.333333333,0.179104478
0.166666667,0.145454545
0.520325203,1
0.136363636,1
0.148148148,1
0.161290323,0.989304813
0.147368421,0.221276596
0.162790698,0.995967742
0.178571429,1
0.189655172,1
0.15,1
0.178571429,1
0.14,0.164705882
0.161585366,1
1,0.97979798
0.166666667,1
0.189189189,1
0.162962963,1
0.176470588,1
0.189189189,0.760368664
0.996941896,1
0.217391304,0.152777778
0.140243902,0.208333333
0.195652174,0.151162791
0.149122807,1
0.173913043,0.698564593
0.350194553,0.516666667
0.580952381,0.99382716
0.157894737,0.139240506
0.140243902,1
0.235494881,1
0.514150943,0.432432432
0.145833333,1
0.483660131,0.189189189
0.147058824,1
0.693277311,1
1,0.98989899
0.161290323,1
0.333333333,0.161290323
0.171428571,0.678657074
0.214285714,0.845070423
0.43324937,0.15
1,1
0.178571429,1
0.148148148,1
0.164179104,0.28435518
0.157480315,0.161290323
0.152777778,1
0.474056604,0.603508772
1,0.171052632
0.148514851,0.184501845
0.727272727,0.998559078
0.55234657,1
0.157142857,0.759825328
0.189189189,1
0.157894737,0.145658263
0.206008584,0.152173913
0.571428571,0.137931034
0.176470588,0.992405063
0.13559322,0.155172414
0.286052009,0.532869296
0.161290323,0.140625
0.183333333,0.574626866
0.562929062,0.307692308
0.162162162,0.148148148
1,1
0.148387097,1
0.589449541,0.142857143
0.338582677,0.14893617
0.618604651,0.192982456
0.357526882,0.996835443
0.227678571,0.759825328
0.629032258,0.939393939
0.809302326,0.205882353
0.128205128,0.828571429
0.522041763,1
0.290697674,0.552752294
0.162162162,1
0.214285714,1
0.220183486,0.203703704
0.162790698,1
0.588516746,1
1,0.876447876
0.533018868,1
0.161290323,0.162162162
0.229681979,0.978658537
0.1875,0.61971831
0.189189189,0.139534884
0.214788732,0.175438596
0.201413428,0.147058824
1,0.163636364
0.217741935,0.98989899
1,1
0.976744186,0.151260504
1,1
0.531322506,0.225806452
0.144927536,0.135135135
0.31640625,0.144067797
0.525641026,0.137931034
0.14556962,0.8
0.900398406,0.157142857
0.1375,1
0.151515152,0.216216216
0.175,1
0.436489607,0.160493827
0.18487395,0.522491349
0.235494881,0.208333333
0.23381295,0.142857143
0.140350877,0.163043478
0.153846154,0.142857143
0.203846154,1
0.177419355,1
0.14,0.205882353
0.709016393,0.189655172
1,1
0.180327869,1
1,1
0.176470588,1
0.987730061,0.137931034
0.166666667,0.408602151
0.147540984,0.97979798
0.14,0.142857143
0.238670695,0.144444444
1,0.508333333
0.990825688,1
1,0.134615385
1,1
0.834733894,0.157303371
0.189189189,1
0.206060606,1
0.16,1
0.153846154,1
0.193548387,1
0.180327869,0.973941368
0.161290323,1
0.588516746,1
0.130841121,0.878787879
0.182432432,0.161290323
0.233532934,1
0.14,1
0.390756303,0.664122137
0.173333333,1
0.161290323,1
0.141414141,0.148648649
0.189189189,0.236024845
0.181415929,0.162162162
0.176470588,0.152542373
0.142857143,1
0.154929577,0.316069057
0.189189189,1
0.140350877,0.995726496
0.56626506,0.173076923
0.160714286,1
0.172413793,1
0.178571429,1
0.160278746,0.986206897
0.142857143,0.175438596
0.166666667,1
0.138686131,0.175438596
0.293859649,1
0.15,1
0.848214286,0.188118812
0.15,0.17578125
0.190114068,1
0.381578947,1
1,0.15942029
0.580952381,1
0.802752294,0.587155963
0.203846154,0.301886792
0.133333333,0.989473684
0.145454545,1
1,0.157142857
0.189189189,0.162601626
0.188976378,0.171428571
0.233716475,0.153846154
0.144578313,0.98989899
0.234939759,0.171875
0.246511628,1
0.2,0.142857143
0.203703704,1
0.2,0.272727273
0.162790698,1
0.14516129,0.996632997
1,0.142857143
0.408602151,0.996515679
0.996941896,1
0.147058824,0.982222222
0.262135922,0.588803089
0.148148148,0.166666667
0.204081633,1
0.15,1
0.206060606,0.2
0.467741935,1
0.209677419,0.995555556
0.700483092,1
0.142857143,1
0.269709544,1
0.541516245,1
0.336283186,0.151515152
0.935135135,0.148148148
1,0.372340426
0.157142857,0.991489362
0.133333333,0.818181818
0.184615385,0.9
0.193548387,0.175438596
0.15,0.133333333
1,0.142857143
0.470046083,0.530555556
0.205387205,0.998559078
0.697674419,0.154929577
0.143911439,0.98989899
0.167247387,1
0.189189189,1
0.153846154,1
0.567857143,1
0.669201521,0.148148148
0.200729927,1
0.206060606,1
0.512,0.162162162
0.161290323,0.140495868
0.160714286,0.147058824
0.414414414,0.171875
0.138888889,0.490842491
0.193548387,1
0.177419355,0.140350877
0.185185185,0.990384615
0.177777778,0.149253731
0.189655172,1
0.198501873,1
0.161290323,0.140350877
0.189922481,1
0.510791367,0.140350877
0.155844156,0.98989899
0.178571429,0.137254902
0.44921875,1
0.215686275,0.14
1,0.160714286
0.215686275,1
0.232472325,0.368055556
0.193023256,0.98989899
0.208955224,1
0.148648649,0.151162791
0.183333333,0.152173913
1,1
0.168421053,0.129032258
0.162162162,0.155660377
0.197647059,0.142857143
0.162162162,0.998194946
0.193548387,1
0.201923077,0.15942029
0.148648649,0.246376812
0.210526316,0.997245179
0.148648649,0.140127389
1,1
0.165165165,0.997014925
0.2,0.244604317
0.166666667,0.168674699
0.222641509,1
0.328571429,0.161290323
0.173780488,0.164383562
0.219114219,0.14953271
0.2,0.142857143
0.153846154,0.769565217
0.412280702,0.210526316
0.149825784,0.150684932
0.157894737,0.180327869
0.166666667,0.98989899
0.162790698,1
0.157407407,1
1,0.939393939
0.466666667,0.208333333
0.161616162,1
0.184615385,1
0.144927536,1
0.175595238,0.162162162
1,0.134615385
0.444444444,0.245874587
0.155172414,0.155339806
0.279792746,0.180451128
0.548523207,0.178571429
0.185185185,0.993243243
0.166666667,0.997578692
1,1
0.140350877,1
0.162162162,0.981012658
0.178571429,0.15503876
0.442890443,1
0.178571429,1
0.138888889,0.163636364
0.152173913,0.757847534
0.148148148,0.161290323
0.16,1
0.381355932,1
0.168067227,0.194444444
0.397769517,0.201793722
0.185185185,0.216718266
0.189189189,1
0.233128834,1
0.164179104,0.541353383
0.336283186,1
0.14516129,0.996835443
0.709923664,0.956521739
0.233128834,0.177402323
1,1
0.166666667,0.161764706
0.138297872,0.1375
0.56626506,0.984126984
0.143867925,1
0.162790698,0.161764706
0.2,0.135135135
1,1
0.14,0.164179104
0.217391304,0.171171171
0.290398126,1
0.148148148,0.142857143
0.201520913,0.230769231
0.56238698,0.1375
0.580952381,1
0.160714286,0.357894737
0.169230769,1
0.178571429,1
0.22741433,0.134751773
0.156862745,1
0.883040936,0.159663866
0.160714286,0.98989899
1,0.213178295
0.152173913,1
0.173780488,1
0.545454545,1
0.147058824,0.332432432
0.433789954,0.98989899
0.399122807,1
0.138297872,0.178571429
0.14893617,0.286585366
1,1
0.443418014,0.498233216
0.211111111,1
0.157142857,0.203007519
0.630188679,1
0.566308244,0.264976959
0.153846154,0.603174603
0.443418014,0.866859624
0.176470588,0.352
0.558951965,0.152542373
0.23630137,0.162162162
0.162162162,1
0.173913043,0.157142857
0.189655172,1
0.508274232,0.606666667
0.166666667,1
0.152173913,1
0.134328358,0.157894737
1,1
0.689252336,1
1,0.170212766
0.162162162,0.994011976
0.190311419,1
0.162790698,0.270886076
0.178571429,0.314893617
0.152173913,0.152542373
0.167832168,1
0.14,1
0.183050847,1
0.647727273,0.16
0.221183801,0.142857143
0.3828125,0.168831169
0.166666667,0.997946612
0.372641509,1
0.935135135,0.987730061
0.981651376,1
0.153846154,0.820689655
1,0.973941368
0.349425287,1
0.516923077,0.176470588
0.567857143,0.401913876
0.741935484,1
1,0.878787879
0.172535211,0.175438596
0.148148148,0.154929577
0.166666667,0.156626506
0.147540984,0.926153846
0.196428571,1
0.266871166,0.161290323
0.701298701,0.166666667
0.15498155,0.183333333
0.587155963,0.993710692
0.189189189,0.153846154
0.909747292,0.772058824
0.935135135,1
0.148148148,0.601648352
0.427251732,1
0.148387097,1
0.164670659,1
0.157894737,1
0.348623853,1
0.205426357,1
0.229681979,0.99122807
0.14516129,0.955673759
0.176470588,0.628742515
1,0.154929577
0.570175439,1
0.531055901,0.181818182
0.40569395,0.372340426
0.363636364,1
0.179487179,0.175438596
0.276849642,1
0.40569395,0.98989899
1,1
0.557939914,1
0.160714286,1
0.166666667,0.155172414
0.138888889,1
0.177419355,0.932885906
0.56626506,0.345844504
0.40647482,0.986486486
0.161290323,0.145631068
0.142857143,0.25
0.148148148,0.838383838
0.189189189,0.148648649
1,0.225806452
0.449392713,0.171428571
0.153846154,0.837708831
0.155555556,0.97979798
0.166666667,1
0.16875,0.522727273
0.149425287,0.98989899
0.590277778,0.816384181
0.228070175,0.922382671
0.455813953,0.184210526
0.419607843,1
0.166666667,0.161290323
0.155172414,0.993485342
0.144736842,1
0.166666667,1
0.414342629,0.333333333
0.155555556,1
0.998084291,1
0.56626506,0.145631068
0.246200608,0.3046875
0.159638554,1
0.398584906,0.193548387
0.38697318,1
0.225806452,1
0.171875,0.142857143
0.231231231,0.137254902
0.333333333,1
0.182089552,1
0.184615385,0.152542373
0.188449848,0.195652174
0.134328358,0.830985915
0.305454545,0.975806452
0.330291971,0.146788991
0.42662116,0.181818182
0.14893617,0.556701031
0.164634146,0.148514851
0.142857143,0.16091954
0.147058824,0.175438596
1,0.163043478
0.148648649,1
0.97752809,0.98989899
0.164750958,1
0.166666667,1
0.935135135,0.161290323
0.492805755,1
0.133333333,0.172413793
0.159638554,0.176470588
0.311004785,0.979472141
0.142857143,0.995975855
0.1625,1
0.564285714,0.146341463
0.15,0.149253731
0.177777778,1
0.177358491,1
0.377118644,0.98989899
0.14516129,1
0.301470588,0.171428571
0.14028777,0.150537634
0.153846154,1
0.153846154,1
0.225806452,0.98989899
0.153333333,0.138888889
0.155172414,0.996197719
0.132075472,0.935897436
1,1
0.360714286,1
0.259259259,1
0.175,0.151515152
0.543147208,0.162790698
0.193548387,0.171428571
0.159638554,1
0.19047619,0.162327718
0.201465201,0.146153846
0.157894737,1
0.189189189,0.25
0.3515625,1
0.189189189,0.153846154
1,0.371102662
0.443418014,1
0.990825688,1
0.162790698,0.147368421
0.540298507,1
0.178571429,0.175438596
0.805555556,0.9
0.332568807,1
0.166666667,0.25093633
0.518796992,0.814516129
0.996941896,0.14516129
0.264705882,0.999014778
0.180327869,1
0.153153153,0.169230769
0.162162162,0.175438596
0.184615385,1
0.688995215,1
0.18490566,0.171428571
0.189189189,0.311789348
0.193548387,0.166666667
0.169064748,1
0.162162162,1
0.173913043,1
1,1
0.148148148,0.148514851
0.183333333,0.705128205
0.145454545,1
0.194570136,1
0.189873418,1
0.189189189,0.173964497
0.162162162,0.151515152
0.137931034,1
0.144927536,0.191780822
0.15,0.246548323
0.28668942,1
0.196078431,1
0.189189189,0.166666667
0.880116959,1
0.191536748,1
0.153846154,1
0.153256705,1
0.169811321,0.480286738
0.148148148,0.152173913
0.285171103,0.996197719
0.649202733,0.996138996
1,0.152173913
0.160714286,0.908571429
0.151898734,0.656682028
0.183050847,1
0.206060606,1
0.203703704,1
0.509302326,0.99382716
0.279792746,0.166666667
0.315789474,0.179104478
0.996015936,0.152173913
1,1
0.140350877,1
0.163636364,0.590361446
0.166666667,0.161290323
0.162790698,0.1625
0.162790698,0.166666667
0.157894737,0.159574468
0.144444444,1
0.178571429,1
0.452586207,0.477876106
0.1625,1
0.467741935,1
0.184143223,0.988764045
0.166666667,1
0.935135135,0.162790698
0.47706422,0.97979798
0.16,0.152173913
0.56626506,1
0.271226415,1
0.368821293,0.131868132
0.153846154,0.460526316
0.150943396,0.96969697
0.161290323,0.263636364
0.938697318,0.146067416
0.481132075,0.769565217
0.37751004,1
0.177777778,0.173076923
0.710784314,0.552752294
0.14516129,0.179487179
0.155339806,0.175438596
0.163636364,1
0.178571429,0.439086294
0.174603175,0.97979798
0.189189189,1
0.23828125,0.96969697
0.322463768,1
0.142857143,0.98989899
0.525345622,0.1375
0.935135135,0.141414141
0.15,0.166666667
0.208333333,0.127906977
0.160714286,0.192622951
1,0.173913043
0.534883721,0.185185185
0.191836735,1
0.212244898,1
0.166666667,0.989130435
0.157894737,0.161764706
0.157142857,0.450474898
0.156862745,1
0.396396396,0.16
0.338095238,1
0.330935252,0.301886792
0.160714286,1
0.166666667,1
0.223529412,0.172413793
0.163934426,0.192307692
0.215686275,0.73040153
0.580952381,0.148648649
0.146919431,0.14
0.56626506,1
0.152173913,0.16893733
0.817351598,0.281690141
0.163043478,0.99382716
0.148648649,0.98989899
0.511737089,1
0.308243728,0.157894737
0.803827751,0.142857143
0.296296296,0.181818182
0.162162162,0.96969697
0.148148148,0.166666667
0.189189189,0.99197861
0.609589041,1
0.410071942,0.181818182
0.333333333,0.153846154
0.457943925,0.705093834
0.983471074,1
0.180555556,1
0.156862745,0.154411765
0.336,1
0.68487395,1
0.196969697,0.350194553
0.178571429,0.144444444
0.193548387,0.350194553
0.208955224,0.96969697
0.338582677,0.242236025
0.169811321,1
0.153846154,0.99382716
0.147540984,0.414342629
0.155172414,1
0.936936937,0.498233216
0.14532872,0.991692627
0.467741935,0.160633484
0.147058824,0.161290323
0.16,1
0.262773723,1
0.162790698,0.144736842
0.159638554,1
0.171428571,1
0.351449275,1
0.176470588,1
0.443418014,0.163636364
0.320843091,0.199152542
0.489169675,1
0.193548387,0.176470588
0.217391304,0.364705882
0.151515152,0.153225806
0.157142857,0.541353383
0.179487179,0.552752294
0.146282974,1
0.188059701,0.297029703
0.200729927,0.142857143
0.385321101,0.844327177
0.14,1
0.251162791,0.14893617
0.446511628,1
0.176678445,0.248175182
1,0.159574468
0.166666667,1
1,0.306569343
0.133333333,0.992248062
1,0.570996979
0.151515152,0.161764706
0.590038314,0.161290323
0.134328358,1
0.192982456,0.163636364
0.580952381,1
0.14,0.98989899
0.158730159,1
0.23699422,0.993442623
0.288065844,0.298507463
0.203921569,1
0.235023041,0.146341463
0.183908046,0.166666667
0.567324955,1
0.148148148,0.161290323
0.171717172,0.98989899
0.18404908,0.908571429
0.396396396,1
0.138888889,1
0.184615385,0.171428571
0.177419355,1
0.168316832,0.141242938
0.308108108,1
0.222482436,0.96742671
0.26993865,0.958333333
0.155555556,0.258064516
0.395121951,0.155172414
0.173076923,0.98989899
0.226327945,0.145833333
0.157142857,0.887700535
0.177777778,1
0.286219081,0.219230769
0.153846154,0.169230769
0.333333333,0.791946309
0.512,0.163934426
0.141304348,0.98989899
0.133333333,1
0.153846154,1
0.148148148,0.338028169
0.175,0.996835443
0.55234657,1
0.554216867,1
0.19,1
0.177419355,1
0.491176471,1
0.917391304,0.164383562
0.503012048,0.173076923
0.323193916,1
0.148148148,0.995780591
0.14,1
0.275058275,1
0.470046083,0.302919708
0.225806452,0.919191919
0.166666667,1
0.147368421,1
0.176470588,0.333333333
0.612612613,0.210884354
0.153846154,0.171428571
0.184615385,0.526315789
0.13253012,0.848623853
0.153846154,1
0.206060606,0.828703704
0.13559322,0.154929577
0.692883895,1
0.190839695,0.61423221
0.148648649,1
0.148387097,1
0.234375,0.147540984
1,0.327777778
0.333333333,0.98989899
0.151162791,0.222222222
0.555900621,0.154929577
0.193548387,0.955922865
0.46875,0.996363636
0.462311558,1
0.160714286,0.97979798
0.186440678,1
0.163934426,1
0.183976261,1
0.157142857,1
0.848214286,0.995726496
1,0.337047354
0.338582677,1
0.159638554,1
1,1
0.181818182,0.172839506
0.207612457,0.178571429
0.275261324,1
0.155172414,1
0.228070175,1
0.166666667,0.451566952
0.338582677,1
0.166666667,0.898230088
0.177358491,0.985981308
0.175,0.534075104
0.206060606,0.98989899
0.567857143,0.205673759
0.176470588,0.98880597
0.251162791,0.97979798
0.2,0.885638298
0.18,1
0.137614679,1
0.25862069,0.96969697
0.416464891,0.9
0.172043011,1
0.161870504,0.156862745
0.193277311,0.134615385
0.196969697,0.834532374
0.166666667,0.990990991
0.15,0.199192463
0.52173913,0.14084507
0.157894737,0.297029703
0.155555556,1
0.233128834,0.161016949
0.414414414,1
0.684410646,0.186138614
0.218461538,1
0.180138568,0.176470588
0.14893617,0.175438596
0.225806452,0.134615385
0.415909091,0.994708995
0.142857143,0.347107438
0.503012048,0.191829485
0.964912281,0.156862745
0.16,0.994736842
0.18852459,1
0.140350877,0.437810945
0.169014085,0.255240444
0.861486486,0.624113475
0.19047619,0.153846154
0.185314685,1
0.189189189,0.152941176
0.140350877,1
0.175,0.360215054
0.172413793,0.189655172
0.235555556,1
0.492307692,0.142857143
0.492307692,0.239130435
0.172839506,1
0.138888889,0.228813559
0.564748201,0.162629758
0.14,0.993442623
0.150943396,1
0.557939914,0.162790698
0.13253012,0.162162162
0.141993958,0.228365385
0.414414414,0.18
0.151515152,0.162162162
0.203125,1
0.447306792,0.146788991
0.581481481,1
0.213333333,0.166666667
0.55234657,0.142857143
0.177358491,1
0.210344828,0.175438596
0.170418006,0.983739837
0.215686275,1
0.190647482,0.324483776
0.220930233,1
0.157894737,1
0.3515625,1
0.164383562,0.637168142
0.166666667,0.533980583
0.5,0.144736842
0.906137184,0.135416667
0.178217822,0.15
0.145922747,0.137254902
0.136363636,1
0.166666667,0.140350877
0.14,0.151260504
0.16,1
0.996941896,0.152173913
0.333333333,0.173913043
0.16,0.98989899
0.151515152,1
1,0.718631179
0.680672269,0.181818182
0.279279279,1
0.201388889,1
0.258064516,0.142857143
0.369747899,1
0.161290323,1
0.924324324,1
0.28057554,1
0.490842491,0.410958904
0.54770318,1
0.827664399,1
0.196850394,0.137931034
0.821345708,1
0.441860465,0.258064516
0.209302326,0.38490566
0.142857143,1
0.175,0.153846154
0.166666667,0.555090656
0.534883721,0.184466019
0.517751479,0.166666667
0.360215054,0.170731707
0.976744186,0.123966942
0.160714286,1
0.138888889,1
0.912863071,0.995726496
0.216470588,0.98989899
0.805555556,1
0.176470588,0.96969697
0.163636364,0.971264368
0.440366972,1
0.489169675,0.162162162
0.138888889,0.151162791
0.161290323,1
0.160714286,0.186046512
0.28440367,0.162162162
0.186206897,0.914772727
0.148148148,0.15
0.16,0.9
0.151515152,0.290410959
0.442396313,1
0.909747292,1
0.152542373,0.240740741
0.189189189,1
0.14516129,0.97979798
